datahora,latitude,longitude,frp,brightness,confidence,satellite,biome,state,month,hour,risk_score,risk_label
2024-08-24T08:15:00,-3.985714,-46.092115,10.18,355.35,58,AQUA_M-T,Cerrado,DF,8,8,0.1995,Baixo
2024-10-22T23:57:00,-14.752986,-35.300901,14.32,395.58,99,AQUA_M-T,Caatinga,PE,10,23,0.3352,Médio
2024-08-14T01:01:00,-7.707444,-64.785459,33.93,384.9,41,TERRA_M-D,Amazônia,PA,8,1,0.2793,Médio
2024-08-17T19:01:00,-6.348192,-63.10823,92.28,280.0,55,AQUA_M-D,Amazônia,AC,8,19,0.4301,Médio
2024-02-08T14:37:00,-3.57207,-57.004807,56.12,306.99,65,TERRA_M-T,Amazônia,MA,2,14,0.1836,Baixo
2024-03-23T13:21:00,-1.447087,-61.115883,41.01,392.11,65,AQUA_M-D,Amazônia,AM,3,13,0.5843,Médio
2024-09-25T10:06:00,1.366505,-66.01294,22.41,492.81,41,AQUA_M-D,Amazônia,RO,9,10,0.8808,Alto
2024-12-12T11:38:00,2.119808,-52.071414,135.13,405.65,63,AQUA_M-T,Amazônia,MT,12,11,0.6357,Médio
2024-05-18T03:59:00,-4.562515,-58.318642,2.78,284.5,78,TERRA_M-T,Cerrado,GO,5,3,0.0367,Baixo
2024-06-10T20:39:00,0.359219,-63.36766,46.94,280.0,76,TERRA_M-D,Amazônia,PA,6,20,0.1624,Baixo
2024-12-02T21:14:00,0.027462,-70.987133,88.77,372.02,67,AQUA_M-T,Amazônia,AC,12,21,0.4109,Médio
2024-07-28T03:24:00,-5.744756,-44.259553,7.39,388.83,65,AQUA_M-D,Caatinga,CE,7,3,0.1796,Baixo
2024-02-06T11:22:00,-15.287441,-46.043836,22.35,404.88,56,GOES-16,Mata Atlântica,BA,2,11,0.226,Baixo
2024-03-20T20:10:00,-4.353447,-40.277851,74.95,290.6,98,AQUA_M-T,Caatinga,PB,3,20,0.0908,Baixo
2024-08-15T12:17:00,-16.651902,-38.122591,44.38,318.07,58,AQUA_M-D,Mata Atlântica,MG,8,12,0.1522,Baixo
2024-06-08T01:51:00,-9.607135,-55.816919,42.63,336.65,70,AQUA_M-T,Amazônia,RR,6,1,0.2215,Baixo
2024-10-03T06:58:00,-20.254954,-57.06366,15.59,328.33,70,GOES-16,Pantanal,MT,10,6,0.1383,Baixo
2024-09-13T20:29:00,1.621221,-51.18075,123.09,316.52,48,TERRA_M-T,Amazônia,AC,9,20,0.391,Médio
2024-08-08T23:35:00,-24.895459,-35.933938,98.84,322.99,98,AQUA_M-D,Mata Atlântica,PR,8,23,0.266,Médio
2024-10-14T18:25:00,-7.15081,-61.46809,118.28,377.02,76,TERRA_M-D,Amazônia,AP,10,18,0.6554,Médio
2024-05-17T15:05:00,-3.615659,-61.729903,7.66,364.91,36,AQUA_M-D,Amazônia,AC,5,15,0.2504,Médio
2024-07-21T05:50:00,-3.515117,-54.018488,214.07,330.87,84,AQUA_M-D,Amazônia,PA,7,5,0.7448,Alto
2024-06-13T19:29:00,-32.08788,-53.522012,20.11,345.63,97,TERRA_M-T,Pampa,RS,6,19,0.065,Baixo
2024-11-28T00:43:00,-21.970425,-54.705717,16.43,316.21,44,TERRA_M-D,Cerrado,MS,11,0,0.0422,Baixo
2024-05-25T20:21:00,-3.88184,-46.387438,66.91,297.36,44,GOES-16,Amazônia,MA,5,20,0.1413,Baixo
2024-09-06T14:00:00,-10.586602,-38.676942,46.04,382.52,63,TERRA_M-T,Caatinga,PB,9,14,0.3424,Médio
2024-05-17T03:55:00,0.441281,-64.338938,2.5,433.86,68,AQUA_M-D,Amazônia,MA,5,3,0.3596,Médio
2024-09-07T04:23:00,-3.598837,-66.884614,11.5,388.05,50,TERRA_M-D,Amazônia,MA,9,4,0.2793,Médio
2024-04-01T19:20:00,-10.359176,-35.6327,25.03,320.38,92,TERRA_M-D,Caatinga,MA,4,19,0.0726,Baixo
2024-08-12T09:15:00,-5.193334,-39.447992,16.61,370.59,37,AQUA_M-T,Caatinga,BA,8,9,0.1796,Baixo
2024-09-03T02:46:00,1.215197,-48.688712,24.84,411.47,92,TERRA_M-D,Amazônia,AC,9,2,0.5214,Médio
2024-09-25T04:08:00,-15.790395,-55.770436,5.27,292.31,90,TERRA_M-D,Pantanal,MS,9,4,0.0692,Baixo
2024-01-09T16:55:00,1.231927,-56.626415,6.42,349.62,84,AQUA_M-D,Amazônia,MA,1,16,0.1336,Baixo
2024-09-25T23:44:00,-7.176465,-42.757307,16.25,280.0,55,TERRA_M-D,Caatinga,RN,9,23,0.0479,Baixo
2024-10-22T20:23:00,-0.668857,-55.459912,64.31,292.28,86,TERRA_M-T,Amazônia,AP,10,20,0.2048,Baixo
2024-12-04T07:14:00,-17.695953,-55.364197,29.96,348.02,38,TERRA_M-T,Cerrado,MA,12,7,0.0734,Baixo
2024-08-19T17:14:00,-17.58203,-55.71816,51.61,280.0,58,AQUA_M-T,Pantanal,MT,8,17,0.2473,Médio
2024-09-23T20:03:00,-11.630732,-44.75684,11.7,338.1,59,AQUA_M-T,Caatinga,BA,9,20,0.0958,Baixo
2024-07-28T10:04:00,-15.3225,-55.297975,0.93,333.17,95,AQUA_M-T,Pantanal,MS,7,10,0.1522,Baixo
2024-06-22T15:13:00,-27.247384,-50.675924,29.18,380.72,99,GOES-16,Pampa,RS,6,15,0.144,Baixo
2024-08-19T15:15:00,-22.027716,-48.949131,165.08,374.65,90,TERRA_M-D,Mata Atlântica,ES,8,15,0.6501,Médio
2024-04-04T03:42:00,-2.31241,-46.268546,43.83,436.96,85,AQUA_M-D,Amazônia,MT,4,3,0.4495,Médio
2024-09-14T14:55:00,-16.81462,-56.060445,26.73,389.78,36,TERRA_M-T,Pantanal,MT,9,14,0.3372,Médio
2024-08-13T23:21:00,-9.924409,-35.56167,41.77,306.79,43,AQUA_M-T,Mata Atlântica,RJ,8,23,0.117,Baixo
2024-10-07T17:28:00,-14.700794,-39.364596,132.44,280.0,47,AQUA_M-D,Mata Atlântica,MG,10,17,0.2905,Médio
2024-08-09T14:15:00,-2.771498,-72.029559,46.94,280.0,39,AQUA_M-D,Amazônia,MT,8,14,0.2663,Médio
2024-01-04T01:41:00,-2.614584,-72.176493,103.76,290.88,99,TERRA_M-D,Amazônia,TO,1,1,0.2697,Médio
2024-09-25T07:10:00,-7.600129,-55.8994,5.35,321.59,82,AQUA_M-T,Cerrado,GO,9,7,0.1064,Baixo
2024-09-07T12:57:00,-3.358067,-58.402852,77.7,340.83,37,TERRA_M-T,Amazônia,TO,9,12,0.3631,Médio
2024-07-01T12:16:00,-0.060173,-65.687529,4.9,364.31,88,TERRA_M-T,Amazônia,RO,7,12,0.3631,Médio
2024-09-23T23:50:00,2.033105,-50.428537,31.55,321.62,92,TERRA_M-T,Amazônia,AP,9,23,0.149,Baixo
2024-09-10T06:03:00,-3.134667,-53.70591,19.7,322.52,99,AQUA_M-D,Amazônia,RO,9,6,0.149,Baixo
2024-09-02T01:37:00,-28.782301,-53.065168,32.64,299.81,91,GOES-16,Pampa,RS,9,1,0.0372,Baixo
2024-02-17T02:54:00,-28.683343,-49.910692,2.49,280.0,53,AQUA_M-T,Mata Atlântica,ES,2,2,0.0294,Baixo
2024-03-03T21:55:00,-13.519527,-43.464871,40.59,280.0,60,TERRA_M-D,Mata Atlântica,RJ,3,21,0.0807,Baixo
2024-09-19T07:37:00,-15.029905,-48.298848,2.78,334.22,35,AQUA_M-T,Cerrado,TO,9,7,0.1064,Baixo
2024-10-14T21:37:00,-10.482802,-50.440411,64.5,328.86,96,AQUA_M-T,Cerrado,SP,10,21,0.1995,Baixo
2024-07-07T21:45:00,-4.195395,-49.065991,61.85,343.35,70,GOES-16,Cerrado,MT,7,21,0.1995,Baixo
2024-07-13T04:42:00,-12.087664,-42.112169,194.95,313.25,68,GOES-16,Cerrado,BA,7,4,0.4788,Médio
2024-10-25T02:00:00,0.560941,-72.371658,19.87,351.42,88,GOES-16,Amazônia,TO,10,2,0.2793,Médio
2024-11-18T06:32:00,-1.290785,-56.018543,79.7,305.37,63,AQUA_M-T,Amazônia,PA,11,6,0.1624,Baixo
2024-12-03T07:23:00,-0.617316,-51.215462,31.92,388.22,66,GOES-16,Amazônia,RO,12,7,0.1926,Baixo
2024-12-27T17:45:00,-7.471741,-53.524733,117.29,425.41,68,TERRA_M-T,Cerrado,MG,12,17,0.5366,Médio
2024-08-10T21:06:00,-26.731275,-35.754048,105.08,315.83,47,TERRA_M-D,Mata Atlântica,SP,8,21,0.2234,Baixo
2024-01-04T23:35:00,1.19404,-62.491555,141.47,325.09,49,AQUA_M-T,Amazônia,AP,1,23,0.321,Médio
2024-09-20T06:45:00,-27.335871,-52.912497,35.7,306.28,73,GOES-16,Pampa,RS,9,6,0.0372,Baixo
2024-10-17T15:16:00,-5.891693,-54.842002,94.09,301.55,36,GOES-16,Amazônia,AC,10,15,0.5083,Médio
2024-07-27T08:02:00,-14.16939,-43.133621,7.47,339.52,30,TERRA_M-T,Cerrado,DF,7,8,0.1064,Baixo
2024-03-21T08:10:00,-0.481117,-56.308112,5.27,316.17,86,AQUA_M-D,Amazônia,RR,3,8,0.0514,Baixo
2024-03-01T03:04:00,-13.462671,-50.535722,258.93,351.21,49,TERRA_M-D,Mata Atlântica,RS,3,3,0.3449,Médio
2024-12-27T11:37:00,-15.587157,-44.556808,256.13,303.47,100,AQUA_M-T,Cerrado,MA,12,11,0.3632,Médio
2024-07-05T01:19:00,-0.285664,-57.923085,142.09,414.81,76,TERRA_M-T,Amazônia,RO,7,1,0.8379,Alto
2024-08-07T21:15:00,-3.842186,-72.693452,3.48,409.91,43,GOES-16,Amazônia,AM,8,21,0.5214,Médio
2024-06-28T13:39:00,-3.756549,-52.877459,121.77,382.4,49,TERRA_M-D,Cerrado,MT,6,13,0.4388,Médio
2024-12-26T05:56:00,2.040282,-72.671829,2.65,343.83,82,AQUA_M-D,Amazônia,AC,12,5,0.1027,Baixo
2024-12-24T10:50:00,-33.298183,-53.069166,44.43,394.09,82,AQUA_M-D,Pampa,RS,12,10,0.2472,Médio
2024-09-06T22:06:00,-6.651016,-40.454589,52.67,333.9,78,GOES-16,Caatinga,RN,9,22,0.1796,Baixo
